Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2531.000,2202.000,
2007-02-01,,2460.000,2163.000,
2007-03-01,,2474.000,2177.000,
2007-04-01,,2502.000,2193.000,
2007-05-01,,2528.000,2215.000,
2007-06-01,,2551.000,2234.000,
2007-07-01,,2590.000,2270.000,
2007-08-01,,2625.000,2293.000,
2007-09-01,,2641.000,2314.000,
2007-10-01,,2652.000,2325.000,
2007-11-01,,2674.000,2337.000,
2007-12-01,,2681.000,2344.000,
2008-01-01,,2685.000,2345.000,
2008-02-01,,2683.000,2348.000,
2008-03-01,,2688.000,2353.000,
2008-04-01,,2688.000,2353.000,
2008-05-01,,2689.000,2352.000,
2008-06-01,,2689.000,2354.000,
2008-07-01,,2690.000,2355.000,
2008-08-01,,2692.000,2358.000,
2008-09-01,,2679.000,2348.000,
2008-10-01,,2651.000,2324.000,
2008-11-01,,2621.000,2299.000,
2008-12-01,,2584.000,2267.000,
2009-01-01,,2549.000,2237.000,
2009-02-01,,2515.000,2209.000,
2009-03-01,,2487.000,2186.000,
2009-04-01,,2462.000,2164.000,
2009-05-01,,2444.000,2150.000,
2009-06-01,,2434.000,2141.000,
2009-07-01,,2435.000,2142.000,
2009-08-01,,2431.000,2138.000,
2009-09-01,,2430.000,2138.000,
2009-10-01,,2424.000,2133.000,
2009-11-01,,2412.000,2123.000,
2009-12-01,,2405.000,2117.000,
2010-01-01,1850.000,2410.000,2121.000,
2010-02-01,1839.000,2415.000,2125.000,
2010-03-01,1846.000,2419.000,2127.000,
2010-04-01,1861.000,2427.000,2133.000,
2010-05-01,1876.000,2439.000,2144.000,
2010-06-01,1893.000,2454.000,2158.000,
2010-07-01,1896.000,2471.000,2172.000,
2010-08-01,1905.000,2485.000,2185.000,
2010-09-01,1909.000,2501.000,2198.000,
2010-10-01,1926.000,2512.000,2208.000,
2010-11-01,1916.000,2519.000,2213.000,
2010-12-01,1935.000,2526.000,2221.000,
2011-01-01,1937.000,2539.000,2231.000,
2011-02-01,1941.000,2550.000,2240.000,
2011-03-01,1941.000,2564.000,2252.000,
2011-04-01,1962.000,2581.000,2267.000,
2011-05-01,1979.000,2595.000,2279.000,
2011-06-01,1992.000,2613.000,2295.000,
2011-07-01,2007.000,2633.000,2312.000,
2011-08-01,2023.000,2648.000,2326.000,
2011-09-01,2034.000,2662.000,2338.000,
2011-10-01,2046.000,2676.000,2350.000,
2011-11-01,2052.000,2680.000,2355.000,
2011-12-01,2052.000,2684.000,2357.000,
2012-01-01,2055.000,2692.000,2363.000,1756.000
2012-02-01,2067.000,2701.000,2371.000,1782.000
2012-03-01,2071.000,2714.000,2383.000,1789.000
2012-04-01,2091.000,2728.000,2395.000,1779.000
2012-05-01,2103.000,2745.000,2411.000,1800.000
2012-06-01,2117.000,2757.000,2422.000,1796.000
2012-07-01,2132.000,2773.000,2437.000,1805.000
2012-08-01,2146.000,2787.000,2449.000,1791.000
2012-09-01,2156.000,2796.000,2457.000,1806.000
2012-10-01,2169.000,2802.000,2463.000,1806.000
2012-11-01,2186.000,2807.000,2468.000,1816.000
2012-12-01,2197.000,2807.000,2471.000,1816.000
2013-01-01,2202.000,2810.000,2474.000,1819.000
2013-02-01,2207.000,2820.000,2482.000,1817.000
2013-03-01,2212.000,2828.000,2488.000,1817.000
2013-04-01,2224.000,2836.000,2497.000,1822.000
2013-05-01,2241.000,2852.000,2512.000,1841.000
2013-06-01,2258.000,2865.000,2524.000,1849.000
2013-07-01,2277.000,2877.000,2536.000,1867.000
2013-08-01,2291.000,2888.000,2546.000,1876.000
2013-09-01,2299.000,2897.000,2554.000,1886.000
2013-10-01,2308.000,2901.000,2559.000,1886.000
2013-11-01,2309.000,2901.000,2558.000,1883.000
2013-12-01,2307.000,2896.000,2554.000,1877.000
2014-01-01,2310.000,2899.000,2556.000,1881.000
2014-02-01,2315.000,2902.000,2560.000,1883.000
2014-03-01,2317.000,2910.000,2565.000,1886.000
2014-04-01,2330.000,2925.000,2578.000,1898.000
2014-05-01,2346.000,2944.000,2594.000,1905.000
2014-06-01,2359.000,2958.000,2606.000,1911.000
2014-07-01,2372.000,2970.000,2618.000,1928.000
2014-08-01,2388.000,2984.000,2632.000,1939.000
2014-09-01,2394.000,2991.000,2638.000,1954.000
2014-10-01,2394.000,2995.000,2642.000,1961.000
2014-11-01,2395.000,2995.000,2642.000,1965.000
2014-12-01,2397.000,2995.000,2642.000,1970.000
2015-01-01,2405.000,3000.000,2648.000,1979.000
2015-02-01,2411.000,3012.000,2658.000,1988.000
2015-03-01,2417.000,3024.000,2667.000,1988.000
2015-04-01,2431.000,3039.000,2679.000,1996.000
2015-05-01,2444.000,3059.000,2696.000,2006.000
2015-06-01,2459.000,3077.000,2712.000,2012.000
2015-07-01,2474.000,3091.000,2726.000,2031.000
2015-08-01,2486.000,3104.000,2738.000,2042.000
2015-09-01,2497.000,3110.000,2745.000,2049.000
2015-10-01,2499.000,3111.000,2745.000,2051.000
2015-11-01,2500.000,3106.000,2742.000,2049.000
2015-12-01,2500.000,3101.000,2739.000,2045.000
2016-01-01,2500.000,3100.000,2739.000,2050.000
2016-02-01,2500.000,3101.000,2740.000,2051.000
